country,year,life_ladder,log_gdp_per_capita,social_support,life_expec,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,confidence_in_national_government,democratic_quality,delivery_quality,standard_deviation_of_ladder_by_country_year,standard_deviation_mean_of_ladder_by_country_year,gini_index_world_bank_estimate,gini_index_world_bank_estimate_average_2000_15,gini_of_household_income_reported_in_gallup_by_wp5_year,continent,country_code,populacao_2020
Afghanistan,2017,2.6617181301116943,7.460143566131592,0.4908800721168518,52.33952713012695,0.4270108640193939,-0.10634034872055054,0.9543925523757935,0.4963485598564148,0.37132617831230164,0.26117852330207825,NA,NA,1.4540507793426514,0.5462827682495117,NA,NA,0.2865988612174988,Asia,4,38928.341
Albania,2017,4.639548301696777,9.37371826171875,0.6376982927322388,69.0516586303711,0.7496110200881958,-0.035140376538038254,0.8761346340179443,0.6692408919334412,0.3338841199874878,0.457737535238266,NA,NA,2.6821048259735107,0.5780960917472839,NA,0.30325,0.41048797965049744,Europe,8,2877.8
Algeria,2017,5.248912334442139,9.540244102478027,0.8067538738250732,65.699188232421875,0.4366704821586609,-0.19467012584209442,0.6997742056846619,0.6419796347618103,0.2887100279331207,NA,NA,NA,2.039764642715454,0.38860711455345154,NA,0.276,0.5275557637214661,Africa,12,43851.043000000005
Argentina,2017,6.039330005645752,9.84351921081543,0.9066991209983826,67.53870391845703,0.8319661617279053,-0.1862999051809311,0.8410524725914001,0.8094226121902466,0.2917172610759735,0.3054302930831909,NA,NA,2.4093289375305176,0.39893975853919983,NA,0.4760666666666667,0.39417579770088196,Americas,32,45195.777
Armenia,2017,4.287736415863037,9.034710884094238,0.6979249119758606,65.12568664550781,0.6136970520019531,-0.13216617703437805,0.8646833300590515,0.6250138282775879,0.4371487498283386,0.2469009906053543,NA,NA,2.325378894805908,0.5423325300216675,NA,0.3250666666666667,0.47887659072875977,Asia,51,2963.2340000000004
Australia,2017,7.25703763961792,10.711827278137207,0.9499578475952148,72.78334045410156,0.9105501770973206,0.30169326066970825,0.41134652495384216,0.7800788879394531,0.22536097466945648,0.45340695977211,NA,NA,1.7456989288330078,0.24055255949497223,NA,0.34275,0.4283409118652344,Oceania,36,25499.881
Austria,2017,7.293727874755859,10.716225624084473,0.9062178134918213,72.359710693359375,0.890030562877655,0.12499673664569855,0.5183038115501404,0.7475687265396118,0.18026871979236603,0.43590793013572693,NA,NA,1.561061978340149,0.214028000831604,NA,0.3038181818181818,0.3229416310787201,Europe,40,9006.400000000001
Azerbaijan,2017,5.152279376983643,9.653929710388184,0.7870393991470337,63.075313568115234,0.7310304641723633,-0.24748066067695618,0.6525390148162842,0.5923592448234558,0.19831866025924683,0.7665834426879883,NA,NA,1.6737568378448486,0.32485753297805786,NA,0.22883333333333333,0.3137432634830475,Asia,31,10139.175
Bahrain,2017,6.227320671081543,10.686713218688965,0.8757471442222595,66.123992919921875,0.9058585166931152,0.12075917422771454,NA,0.8135705590248108,0.2897595167160034,NA,NA,NA,2.2155256271362305,0.3557750880718231,NA,NA,0.4466093182563782,Asia,48,1701.5830000000003
Bangladesh,2017,4.3097710609436035,8.163092613220215,0.7125527858734131,62.504154205322266,0.8962171673774719,0.017536194995045662,0.6350144743919373,0.5688270926475525,0.21350575983524323,0.8766464591026306,NA,NA,1.865365982055664,0.4328225255012512,NA,0.32899999999999996,0.532750129699707,Asia,50,164689.383
Belarus,2017,5.552915096282959,9.719829559326172,0.9002557992935181,66.60596466064453,0.6209792494773865,-0.13058209419250488,0.6541134119033813,0.540905773639679,0.23276807367801666,0.44791629910469055,NA,NA,1.662563681602478,0.29940375685691833,NA,0.28187500000000004,0.28325021266937256,Europe,112,9449.321
Belgium,2017,6.928347587585449,10.65765380859375,0.921639084815979,72.14292907714844,0.8568019866943359,0.045481469482183456,0.5430460572242737,0.7863675951957703,0.23359769582748413,0.4497319161891937,NA,NA,1.510013222694397,0.2179470956325531,NA,0.2851818181818182,0.35437384247779846,Europe,56,11589.615999999998
Benin,2017,4.853180885314941,7.632502555847168,0.4358789920806885,51.79475021362305,0.7268082499504089,-0.040269434452056885,0.7672346234321594,0.6147223114967346,0.4579203426837921,0.6150892972946167,NA,NA,2.99812650680542,0.6177652478218079,NA,0.4326666666666667,0.5770696997642517,Africa,204,12123.198000000004
Bolivia,2017,5.650552749633789,8.832608222961426,0.7786617875099182,60.34379577636719,0.8839049339294434,-0.1159878522157669,0.8192619681358337,0.6981953978538513,0.4339435398578644,0.4276329576969147,NA,NA,2.2504842281341553,0.39827683568000793,NA,0.5316428571428571,0.40588659048080444,Americas,68,11673.029
Bosnia & Herzegovina,2017,5.089902400970459,9.371712684631348,0.7752952575683594,67.9944839477539,0.5637986660003662,0.08958946168422699,0.9233430624008179,0.5973416566848755,0.27074551582336426,0.12637971341609955,NA,NA,2.2810065746307373,0.44814348220825195,NA,0.32725000000000004,0.4862038791179657,Europe,70,3280.8149999999996
