"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","27/10/2020","","Reunião com o Coordenador-Geral de Auditoria das Áreas de Ciência, Tecnologia, Inovações e Comunicações, da Secretaria Federal de Controle Interno, da Controladoria-Geral da União, Marcelo Montalvão Reis.","Webconferência","16:00","17:00","Jane Teles de Oliveira - Assessora Técnica - AECI/MCOM;, Artur Coimbra de Oliveira - Diretor - DEAIT/SETEL/MCOM;, Marcelo Romão Manhães de Azevedo - Assessor - DEAIT/SETEL/MCOM;, Otto Fernandes Solino - Coordenador-Geral - CGAI/DEAIT/SETEL/MCOM;, Danilo Morais Soares - Engenheiro de infraestrutura - DEAIT/SETEL/MCOM;, Luiz Henrique de Andrade Gadelha - Engenheiro de infraestrutura - DEAIT/SETEL/MCOM;, Hélio Maurício Miranda da Fonseca - Gerente de Projetos - DEAIT/SETEL/MCOM., Vanessa Gomes Pizzetti Constanti - Auditora Federal de Finanças e Controle - SFC/DI/CGTIC/CGTIC;, Fernando Roriz Marques Cardoso - Auditor Federal de Finanças e Controle - SFC/DI/CGTIC/CGTIC;, Marcelo Montalvão Reis - Auditor Federal de Finanças e Controle - SFC/DI/CGTIC.","Políticas públicas, processos e atividades do Departamento de Aprimoramento do Ambiente de Investimentos em Telecomunicações - DEAIT/SETEL."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","03/11/2020","","Prévia - Reunião da Controladoria-Geral da União","Webconferência","11:00","12:00","Vitor Elísio Góes de Oliveira Menezes - Secretário-Executivo do Ministério das Comunicações - SEXEC/MCOM;, Flávia Duarte Nascimento, Secretária-Executiva Adjunta - SEXEC/MCOM; , Djair Fiorillo Lopes, Subsecretário de Orçamento e Administração - SOA/SEXEC/MCOM;, Ivancir Gonçalves da Rocha Castro Filho, Coordenador-Geral de Recursos Logísticos - SOA/SEXEC/MCOM;, Mirian Fiuza, Assessora da Secretaria-Executiva - SEXEC/MCOM;, Peter Erik Kummer, Diretor do Departamento de Gestão e Normas - SECOM/MCOM.",""
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","04/11/2020","","Reunião com o Chefe da Assessoria Especial de Controle Interno, Arthur Rodrigo Mota de Miranda.","Webconferência","11:00","12:00","Jane Teles de Oliveira - Assessora Técnica - AECI/MCOM;, Luana Fagundes - Corregedora - CORREG/AECI/MCOM;, Cristina de Oliveira Lopes - Coordenadora de Juízo de Admissibilidade e Instrução Prévia - COJIP/CORREG/AECI/MCOM;, Arthur Rodrigo Mota de Miranda - Chefe da Assessoria Especial de Controle Interno - AECI/MCTI;, Aline Cavalcante dos Reis Silva - Corregedora - AECI/MCTI;, Dyleny Teixeira Alves da Silva - Coordenadora de Juízo de Admissibilidade e Instrução Prévia - AECI/MCTI.","Processo SEI, Nota Técnica."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","04/11/2020","","Reunião com a Secretária Executiva Adjunta, Flávia Duarte Nascimento.","Esplanada dos Ministérios, Bloco R, sala 804","14:00","15:00","Carolina Scherer Bicca, Consultora Jurídica - CONJUR/MCOM;, Wagner Primo Figueiredo Neto, Chefe da Assessoria Especial de Assuntos Parlamentares - ASPAR/MCOM;, Wanessa Queiroz de Souza Oliveira, Subsecretária de Planejamento e Tecnologia da Informação - SPTI/SEXEC/MCOM;, Daniel Miranda Pontes Rogério, Coordenador-Geral de Tecnologia da Informação - CGTI/SPTI/SEXEC/MCOM.","Reunião sobre Requerimento de Informação"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","05/11/2020","","Reunião CGU/MCOM","Webconferência","10:00","11:30","Flávia Duarte Nascimento, Secretária Executiva Adjunta - SEXEC/MCOM;, Lea Marques - Controladoria-Geral da União - CGU.","Busca Conjunta de Soluções - CGU / Ministério das Comunicações"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","05/11/2020","","Reunião com o Coordenador-Geral de Auditoria das Áreas de Ciência, Tecnologia, Inovações e Comunicações, da Secretaria Federal de Controle Interno, da Controladoria-Geral da União, Marcelo Montalvão Reis.","Webconferência","15:30","16:30","Jane Teles de Oliveira - Assessora Técnica - AECI/MCOM;, Wilson Diniz - Diretor - Departamento de Projetos de Infraestrutura e Banda Larga - DEPIN/SETEL;, Daniela Schettino - Coordenadora-Geral - DEPIN/SETEL;, José Afonso - Coordenador-Geral - CGBL/DEPIN/SETEL;, Vanessa Gomes Pizzetti Constanti - Auditora Federal de Finanças e Controle - SFC/DI/CGTIC/CGTIC;, Fernando Roriz Marques Cardoso - Auditor Federal de Finanças e Controle - SFC/DI/CGTIC/CGTIC;, Marcelo Montalvao Reis - Auditor Federal de Finanças e Controle - SFC/DI/CGTIC.","Políticas públicas, processos e atividades do Departamento de Projetos de Infraestrutura e Banda Larga - DEPIN/SETEL"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","13/11/2020","","Reunião com o Secretário de Radiodifusão, Maximiliano Salvadori Martinhão.","Esplanada dos Ministérios, Bloco R, sala 300.","14:30","15:30","Otavio Viegas Caixeta, Chefe de Gabinete da Secretaria de Radiodifusão - SERAD/MCOM;, William Ivo Koshevnikoff Zambelli, Diretor do Departamento de Outorga e Pós-Outorga - SERAD/MCOM;, Rodrigo Cruz Gebrim, Diretor do Departamento de Inovação, Regulamentação e Fiscalização - SERAD/MCOM;, Eder Eustáquio Alves  - SERAD/MCOM.","Processos no SEI - Correição"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","17/11/2020","","Reunião com a Chefe da Assessoria Especial de Comunicação Social, Priscila Costa e Silva.","Esplanada dos Ministérios, Bloco R, sala 300.","15:45","16:30","Priscila Costa e Silva, Chefe da Assessoria Especial de Comunicação Social - ASCOM/MCOM;, Djair Fiorillo Lopes, Subsecretário de Orçamento e Administração - SOA/SEXEC/MCOM;, Mirian Fiuza, Assessora da Secretaria Executiva - SEXEC/MCOM;, Ana Carolina Fuck Fullana, Ouvidora - OUVID/AECI/MCOM;, Luanda Andre da Silva - SEXEC/MCOM;, Shismênia Ananias de Oliveira;, Mônica Yumi Harada.","Despacho ASCOM sobre o Site do MCOM"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","19/11/2020","","Entrevista com o Senhor Pedro Rocha de Lima Filho, da Empresa Brasileira de Correios e Telégrafos.","Esplanada dos Ministérios, Bloco R, sala 712.","11:00","12:00","",""
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","20/11/2020","","Reunião com o Secretário de Comunicação Institucional, Felipe Cruz Pedri.","Palácio do Planalto, 2º andar, sala 205.","10:00","11:00","Andrea Martucelli Magalhães Paz - Chefe de Gabinete da Secretaria de Comunicação Institucional; e, Peter Erik Kummer - Diretor do Departamento de Gestão e Normas da Secretaria de Comunicação Institucional.","Visita de cortesia e assuntos de controle interno."
