"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretora do Departamento de Publicidade","","Ministéro das Comunicações","Gislaine Passador Bittencourt de Sá","13/01/2021","","Reunião com  ABlink   - Apresentação","Ministério da Cidadania, Bloco A, 6º Andar, Sala 610","16:30","17:30","Participam: , , SECOM:, , Rodrigo Fayad – Secretário  de Publicidade e Promoção , Gislaine – Diretora de Publicidade , Luiz Antônio – Coordenador-Geral de Mídia, Luiz Eduardo Goulart – Assessor Técnico, , ABlink:, , Renan Carvalho , Romulo Moreira",""
"Diretora do Departamento de Publicidade","","Ministéro das Comunicações","Gislaine Passador Bittencourt de Sá","13/01/2021","","Reunião de Alinhamento","Ministério da Cidadania, Bloco A, 6º Andar, Sala 610","15:00","16:00","","Programa Em Frente, Brasil"
"Diretora do Departamento de Publicidade","","Ministéro das Comunicações","Gislaine Passador Bittencourt de Sá","13/01/2021","","Despachos Interno","Ministério da Cidadania, Bloco A, 6º Andar, Sala 610","10:00","11:30","",""
