"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","05/10/2020","","Agenda Presidencial – Abordagem Estratégica.","Palácio do Planalto, 3° andar, sala 301","14:30","15:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","05/10/2020","","Reunião com a Embratur.","Palácio do Planalto, 2º andar, Sala 205","10:30","11:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","06/10/2020","","Audiência sobre ""Liberdade de expressão no Brasil"".","VIA ZOOM","10:00","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","07/10/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","07/10/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","08/10/2020","","Ordenamento de Despesa com o Senhor  Márcio Valério","Palácio do Planalto, Sala 205, 2º andar","10:30","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","08/10/2020","","Onyx Lorenzoni - Ministro da Cidadania","Esplanada dos Ministérios Bl. A  7º andar - GM","16:00","17:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","09/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","09/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","10/10/2020","","Reunião da Diretoria Colegiada","Palácio do Planalto, 2º andar, Sala 205","11:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","13/10/2020","","Reunião com Secretário de  Publicidade e Promoção Rodrigo Fayad","Gabinete SEXEC Bloco R sala 802","15:30","16:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","13/10/2020","","Reunião da Diretoria Colegiada","Palácio do Planalto, 2º andar, Sala 205","11:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","13/10/2020","","Reunião do Comitê Gestor Gov.br","Videoconferência","17:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","14/10/2020","","Rafael Pellon e Fernanda Arbex: Coordenadores da Coalizão e sócios do Pellon Advogados.","Rua dos Pinheiros 1060 - 3 Andar na empresa Roix / GDB,","09:30","10:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","14/10/2020","","Reunião Governamental: Participação de Parlamentares nas Viagens dos Ministros de Estado","Videoconferência","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","14/10/2020","","Maurício Fittipaldi, Diretor-GeralJMF Media, Hiran Silveira, Diretor de Governança e Proteção de Dados RecordTV","RUA TENENTE NEGRÃO, 140 – 13º ANDAR – Itaim Bibi - São Paulo","14:30","15:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","15/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","15/10/2020","","Plano de Comunicação da Amazônia","Palácio do Planalto, 2º andar, Sala 206","16:00","17:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","16/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","16/10/2020","","Apresentação Campanha  Amazônia","Esplanada dos Ministérios Bloco A sala 610","16:00","17:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","20/10/2020","","Senador Nelsinho Trade - PSD/MS","PP 2º andar sala 206","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","20/10/2020","","Alinhamento Articulação, Digital e Imprensa.","Palácio do Planalto, 2° andar, Sala 206.","10:00","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","21/10/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","21/10/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","22/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","18:18","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","22/10/2020","","Reunião da Diretoria Colegiada","Palácio do Planalto, 2º andar, Sala 205","11:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","26/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","26/10/2020","","Pauta Semanal - Estratégias de Comunicação","Palácio do Planalto, 2º andar, sala 206","16:00","17:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","27/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","27/10/2020","","Demandas do Departamento de Articulação","Palácio do Planalto, 2º andar, Sala 205","15:00","15:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","27/10/2020","","Certificação Digital. (EMISSÃO DE TOKEN)","Palácio do Planalto, 2º andar, Sala 205","16:00","16:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","28/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","28/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","29/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","29/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","30/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","30/10/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","03/11/2020","","Reunião sobre Alinhamento de Comunicação com o Ministério da Economia/Secretaria Geral da Presidência da República/ Subsecretaria de Imprensa/MCOM  e Secretaria de Comunicação Institucional/MCOM.","Palácio do Planalto, 2º andar, sala 206.","14:30","15:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","04/11/2020","","Consulta sobre Orientação Normativa 50 - NUP: 00170.000307/2016-24.","Conferência Web. (link).","16:00","17:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","04/11/2020","","LAIs/CGU","Palácio do Planalto, 2º andar, sala 206.","18:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","05/11/2020","","Reunião sobre Alinhamento de Comunicação.","Palácio do Planalto, 2º andar sala 206.","14:30","15:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","05/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","06/11/2020","","Reunião com Gustavo Lopes e Jessica Barz. ( Ministério da Cidadania)","Palácio do Planalto, 2º andar, sala 205","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","06/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","09/11/2020","","Reunião do Comitê Gestor Gov.br","Conferência Web. (link).","19:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","09/11/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","14:15","15:45","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","09/11/2020","","Reunião preparatória para o Evento SICOM.","Palácio do Planalto, 2º andar, sala 206.","14:00","15:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","09/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","10/11/2020","","Contrato SECOM/EBC","Palácio do Planalto, 2º andar, sala 206.","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","10/11/2020","","Reunião da Diretoria Colegiada.","Palácio do Planalto, 2º andar, sala 206.","11:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","11/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","11/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","14:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","12/11/2020","","Reunião sobre Compra de Publicidade | Adtechs + IAB Clube Hebraica","Entrada Rua Angelina Maffei Vita, Rua Angelina Maffei Vita, 450-580 - Pinheiros, São Paulo","09:30","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","12/11/2020","","Almirante Rocha e Paulo Zottolo","São Paulo - SP","12:00","14:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","17/11/2020","","Reunião com Felipe Cruz Pedi, Secretário de Comunicação Institucional do Ministério das Comunicações","Anexo II, Ala A, térreo, Sala 106","16:30","17:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","17/11/2020","","Reunião da Diretoria Colegiada.","Palácio do Planalto, 2º andar, sala 205","11:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","17/11/2020","","Reunião CGTI MCOM - SECOI.","Palácio do Planalto, 2º andar sala 206","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","17/11/2020","","Reunião com Humberto Fernandes de Moura, Subchefe  Adjunto Executivo da Subchefia para Assuntos Jurídicos SAJ-SG/PR","Anexo II, Ala A, térreo, Sala 106","16:30","17:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","18/11/2020","","Audiência com o Ministro das Comunicações, Fábio Faria","Esplanada dos Ministérios, Bloco R, Edifício Sede, 9º andar, Sala 900","16:00","16:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","18/11/2020","","Reunião com a Dra. Carolina Scherer Bicca. Pauta: Discutir sobre a Estrutura Regimental da SECOM","Esplanada dos Ministérios, Bloco R, Edifício Sede, 9º andar, Sala 906","16:45","17:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","18/11/2020","","Segunda Onda do Covid 19.","Palácio do Planalto, 2º andar sala 206.","18:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","19/11/2020","","Estratégia de Comunicação do fim do Auxílio Emergencial e 13° salário do Bolsa Família","Palácio do Planalto, 2° Andar, Sala 206","10:00","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","19/11/2020","","Reunião com a Secretária Nacional dos Direitos da Pessoa com Deficiência. Sra. Priscilla Gaspar. Pauta: Campanha informativa com a temática das pessoas com doenças raras","Conferência Web. (link).","14:30","15:30","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","19/11/2020","","Reunião com o Coordenador-Geral de Estratégia de Comunicação, Lucas Gelásio","Palácio do Planalto, 2° Andar, Sala 206","10:00","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","19/11/2020","","Discutir sobre o Decreto de Política de Comunicação.","Palácio do Planalto, 2ª andar, Sala 206.","16:00","17:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","20/11/2020","","Evento SICOM.","Palácio do Planalto, sala 206.","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","20/11/2020","","Reunião sobre Politica de Desenvolvimento","Ministério das Comunicações- Bloco R sala 804","17:30","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","20/11/2020","","Apresentação do Chefe da AECI_MCOM e assuntos de controle interno.","Palácio do Planalto, 2º andar, sala 205.","11:00","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","23/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","23/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","14:30","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","24/11/2020","","Cerimônia de Comemoração aos 20 anos do Fundo para o desenvolvimento Tecnológico das Telecomunicações(FUNTELL)","Auditório Lourenço Nassib  Cherab, Bloco R, Subsolo.","17:00","18:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","24/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","25/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
