"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","02/12/2020","","Fábio Faria, Ministro das Comunicações","Palácio Planalto 2º andar sala 207","15:00","16:00","Felipe Pedri - Secretário de Comunicação Institucional - SECOM/MCOM,, Roberta Ramaldes - Diretora de Articulação e Estratégia de Comunicação - SECOM/MCOM,, Stéfane Maia Rech - Subsecretária de Imprensa - SECOM/MCOM,, João Paulo Dondelli - Diretor Departamento de Projetos Especiais - SECOM/MCOM, José Matheus Gomes - Assessor Especial do PR, Mateus Diniz - Assessor SECOM/MCOM","Evento Sicom"
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","02/12/2020","","Deputado Federal Cezinha de Madureira PSD/SP","Palácio Planalto 2º andar sala 207","16:30","17:00","","João Paulo Dondelli - Diretor do Departamento de Projetos Especiais"
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","02/12/2020","","Fabricio Proti - Managing Director, Teads Brazil","Palácio Planalto 2º andar sala 207","10:00","11:00","João Paulo Dondelli - Diretor do Departamento de Projetos Especiais, Rodrigo Fayad - Secretário de Publicidade e Promoção","Plataforma Digital"
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","03/12/2020","","Comemoração do Dia Internacional da Pessoa com Deficiência e do Dia Internacional do Voluntário","Palácio do Planalto 2º andar Salão Nobre","16:30","18:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","03/12/2020","","Despacho interno","Palácio Planalto 2º andar sala 207","09:00","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","04/12/2020","","Despachos internos","Palácio Planalto 2º andar sala 207","10:00","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","04/12/2020","","Despachos interno","Palácio do Planalto 2º andar sala 207","14:00","18:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","07/12/2020","","Despachos internos","Palácio Planalto 2º andar sala 207","13:00","20:30","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","07/12/2020","","Despachos internos","Palácio Planalto 2º andar sala 207","08:30","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","08/12/2020","","Senador Irajá - PSD/TO","Palácio Planalto 2º andar sala 207","10:00","11:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","08/12/2020","","Lançamento do Programa ""SAÚDE COM AGENTE""","Palácio do Planalto, 2º andar, Salão Nobre","16:30","17:30","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","09/12/2020","","Fabio Carvalho - Presidente e CEO do Grupo Abril","Palácio Planalto 2º andar sala 207","13:00","14:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","09/12/2020","","Marcos Trindade - Sócio Diretor FSB Comunicação e Renato Salles, Sócio Diretor  FSB Comunicação","Palácio Planalto 2º andar sala 207","10:00","11:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","09/12/2020","","Cerimônia de Lançamento da Estratégia Nacional de Fortalecimento dos Vínculos Familiares","3º andar do Palácio do Planalto","16:30","17:30","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","10/12/2020","","Antônio Augusto Amaral de Carvalho Filho (Tutinha), CEO do Grupo Jovem Pan","São Paulo - SP","12:00","13:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","14/12/2020","","Deputado Estadual Frederico d'Avila - PSL/SP","São Paulo","12:00","14:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","15/12/2020","","Acompanha o Sr. Presidente da República, Jair Bolsonaro à cidade de São Paulo para cumpri programação.","São Paulo","15:00","21:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","16/12/2020","","""Lançamento do Plano Nacional de Operacionalização da Vacinação Contra a Covid-19""","Palácio do Planalto, 2° andar, Salão Nobre.","10:00","11:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","16/12/2020","","Governador Ronaldo Caiado - DEM/GO","Palácio do Planalto 2º andar sala 207","11:30","12:00","Alarico Naves -  Diretor Comercial da Record",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","16/12/2020","","Deputado Bibo Nunes PSL/RS","Palácio Planalto 2º andar sala 207","09:45","10:00","João Paulo Dondelli - Diretor de Projetos Especial - SECOM/MCOM",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","16/12/2020","","Deputado Gilberto Nascimento - PSC/SP","Palácio do Planalto 2º andar sala 207","09:15","09:30","João Paulo Dondelli - Diretor de Projetos Especial - SECOM/MCOM",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","16/12/2020","","Solenidade de Ação de Graças","Palácio Planalto 2º andar salão Nobre","16:00","17:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","17/12/2020","","Marcelo de Carvalho, Vice-Presidente Rede TV","São Paulo","08:00","10:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","21/12/2020","","Sem compromissos oficiais","São Paulo","08:00","18:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","22/12/2020","","Sem compromissos oficiais","São Paulo","08:00","18:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","24/12/2020","","Sem compromissos oficiais","São Paulo","08:00","14:00","",""
