"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","11/11/2020","","Apresentação da nbs","Esplanada dos Ministérios Bloco A 6º andar","11:00","11:30","Luiz Antonio Alves - Coordenador Geral de Mídia, Carla Russi-COO da NBS",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","11/11/2020","","Campanha de Posicionamento","Esplanada dos Ministérios Bloco A 6º andar","17:00","18:00","Gislaine Passador - Diretora de Publicidade;, Luiz Antonio - Diretor de mídia Substituto;, Wilka Oliveira – Coordenadora Geral de Conteúdo e Publicidade;, Luiz Eduardo – Assessor de Pulicidade., Gustavo Mouco – CEO Calia;, Samir – Atendimento-Calia, Geiza – Diretora de Criação- Calia",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","11/11/2020","","Campanha Mulheres","Esplanada dos Ministérios Bloco A 6º andar","16:00","17:00","Gislaine Passador - Diretora de Publicidade;, Luiz Antonio - Diretor de mídia Substituto;, Wilka Oliveira – Coordenadora Geral de Conteúdo e Publicidade;, Luana Roque - Assessora de Mídia SECOM;, Zildete Melo - Assessora de Conteúdo; , Bete Rosa – Diretora de Atendimento – NBS;, Carla Russi – COO;-NBS, Carol Nunes - Diretora de Mídia-NBS, José Geraldo Oliveira  - Diretor de Criação-NBS, Bruno Altieri - Diretor de Planejamento-NBS, David Murad – Redator-NBS, Aline Souza - Supervisora de Atendimento-NBS",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","11/11/2020","","Apresentação/NOEL Marketing","Esplanada dos Ministérios Bloco A 6º andar","10:00","10:30","Luiz Antonio- Coordenador Geral de Mídia, Maurício Neves –Diretor da NOEL Marketing, Luiz Fernando Ferraz Bueno- CEO do Grupo  Rezek",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","13/11/2020","","Planejamento de Patrocínio da Caixa","Esplanada dos Ministérios Bloco A 6º andar","11:00","12:30","José Augusto -  Chefe de Gabinete SPP, Pedro Paulo- Assessor Técnico de Patrocínio, Jeyson Leyser- Diretor- Caixa Econômica, Alessandra Esteves- Gerente Nacional-Caixa Econômica, Bruno Fares- Superintendente Nacional-Caixa Econômica, Geórgia Daniele- Gerente-Caixa Econômica",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","13/11/2020","","Contratos de publicidade e contratação de serviços de comunicação digital.","Esplanada  Bloco A sala 610  (Videoconferência)","16:00","17:00","Carolina Scherer Bicca - Consultora Jurídica/MCOM, Davi Pereira Alves - Coordenador-Geral da CGCS/CONJUR-MCOM, Felipe Arruda Aguiar Sobreira da Silva - Coordenador da CGCS/CONJUR/MCOM, Vitor Carvalho Curvina Costa de Araujo - Coordenador da CGCS/CONJUR/MCOM, Andrea Martucelli Magalhães Paes - Chefe de Gabinete , Peter Erik Kummer - Diretor de Gestão de Normas , Flávia Duarte Nascimento - Secretária- Executiva Adjunta, Djair Fiorillo Lopes - Subsecretário - SPOA, Ivancir Gonçalves da Rocha - Coordenador- Geral de Recursos Logísticos",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","13/11/2020","","Despachos Internos","Esplanada dos Ministérios Bloco A 6º andar","10:00","10:30","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","14/11/2020","","","Esplanada dos Ministérios Bloco A","","","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","17/11/2020","","Apresentação da Claro Ads","Esplanada dos Ministérios Bloco A","15:00","15:30","Luiz Antônio Oliveira Alves - Coordenador-Geral de Mídia , Arthur Newmann – Diretor de Marketing da Mob Target",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","17/11/2020","","Apresentação da Versatille","Esplanada  Bloco A sala 610  (Videoconferência)","15:30","16:00","Luiz Antonio Alves - Coordenador Geral de Mídia, Rogério Sfoggia- Publisher da Versatille, Raquel Sfoggia- Relacionamento e Experiência da Versatille",""
