"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretor do Departamento de Aprimoramento do Ambiente de Investimentos em Telecomunicações","","Ministéro das Comunicações","Pedro Lucas da Cruz Pereira Araújo","16/12/2020","","Reunião com o Sr. Otto Solino da SETEL","GAB/SEXEC Sala 802","15:00","15:30","","Debêntures Incentivados."
"Diretor do Departamento de Aprimoramento do Ambiente de Investimentos em Telecomunicações","","Ministéro das Comunicações","Pedro Lucas da Cruz Pereira Araújo","17/12/2020","Sr. André Luis Carvalho - Claro","Reunião Comitê de Governança Digital","Salão Nobre do Bloco ""R""","16:00","17:00","","Reunião Comitê de Governança Digital"
"Diretor do Departamento de Aprimoramento do Ambiente de Investimentos em Telecomunicações","","Ministéro das Comunicações","Pedro Lucas da Cruz Pereira Araújo","17/12/2020","Sr. André Luis Carvalho - Claro","Sr. André Luís Carvalho - CLARO","Gabinete SERAD - Bloco ""R"", 3º andar, sala 300","15:30","16:00","",""
