"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","09/11/2020","","Reunião com o Secretário Arthur Coimbra","Ascom 902","10:00","10:00","","Site Mcom"
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","09/11/2020","","Reunião preparatória para o Evento SICOM","Palácio do Planalto, 2ª andar, Sala 206","14:00","14:00","","Evento SICOM"
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","09/11/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","15:30","15:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","10/11/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","10:00","10:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","10/11/2020","","Letícia Casado - New York Times","Ascom 902","11:30","11:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","10/11/2020","","Geralda O Globo","Ascom 902","14:30","14:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","11/11/2020","","Despacho Interno","Ascom 902","17:00","18:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","11/11/2020","","Despacho com o Ministro","Gabinete do Ministro, 9º andar, sala 900","10:30","10:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","11/11/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","15:00","15:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","12/11/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","10:00","10:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","13/11/2020","","Peter Kummer -  Comunicação digital.","Esplanada dos Ministérios, Bloco A, sala 642.","10:30","10:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","13/11/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","14:30","00:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","16/11/2020","","Reunião quinzenal de Comunicação/ Setor Postal - Serviço C","Webconferência","14:00","14:00","",""
