"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","30/09/2020","","Reunião Ferramentas de Publicidade","Esplanada dos Ministérios, Bloco A, 6º Andar","14:00","15:00","Ruberval Monteiro da Silva - Coordenação-Geral de Conformidade; , Alexandre Antunes Vieira - Coordenador-Geral de Referências de Preços e Cadastro de Veículos;, Gustavo de Assis Calsing - Coordenador-Geral de Administração de Contratos.",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","30/09/2020","","Visita do Secretário de Comunicação Institucional aos Diretores e Áreas Técnicas da SECOM/MC","Esplanada dos Ministérios, Bloco A, 6º Andar","15:00","17:00","Felipe Cruz Pedri - Secretário de Comunicação Institucional",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","01/10/2020","","Reunião Equipe","Esplanada dos Ministérios Bloco A sala 608","15:00","16:00","","Reunião de Equipe"
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","01/10/2020","","Reunião","Palácio do Planalto, 2º andar, Sala 205","10:00","11:00","Silvio Nascimento - Diretor de Marketing e Comunicação da Embratur.",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","01/10/2020","","Campanha de Trânsito","Esplanada dos Ministérios Bloco A sala 608","16:30","17:00","Rodrigo Fayad Albuquerque Rosa, Luiz Antonio Oliveira, Calia , Cecília Crespo","Reunião Campanha de Trânsito"
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","02/10/2020","","Foto Oficial para o Site do MCOM.","Palácio do Planalto, 2º andar.","15:00","16:00","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","05/10/2020","","Reunião com a Embratur","Palácio do Planalto, 2º andar.","10:30","11:30","Embratur  , , Dr. Sílvio Nascimento – Diretor de Marketing e Comunicação da Embratur, , João Alex Mendonça – Coordenador Jurídico da Embratur, , Joaquim Estevão  – Assessor , ,  , , SCI/SECOM, , Dr. Felipe Pedri –Secretário de Comunicação Institucional",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","05/10/2020","","Reunião: LAI","Esplanada dos Ministérios Sala 610","14:30","15:00","Rodrigo Fayad Albuquerque Rosa - Secretario de Publicidade e Promoção, , Luiz Antonio-  Coordenador de Mídia",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","07/10/2020","","Reunião Gestão Contratos","Esplanada dos Ministérios bloco A sala 609","17:30","18:30","Rodrigo Fayad de Albuquerque Rosa -  Secretário de publicidade e Promoção, , , Márcia Maria Pachaly _ Assessora Técnica, , Gustavo de Assis Calsing- Coordenador-Geral de Administração de contratos, , Gustavo Henrique Ferreira Gouveia -Coordenador-Geral de orientação Normas",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","09/10/2020","","Reunião Contrato e Publicidade.","Esplanada dos Ministérios  bloco A Sala 642","16:30","17:00","Alexandre Antunes Vieira",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","13/10/2020","","Reunião com Sr. André Barreto Chefe da Assessoria de Relações Institucionais e Comunicação da Agência Espacial Brasileira","Esplanada dos Ministérios - Bloco A - 6º Andar - Sala 642","11:00","12:00","",""
